user_id,account_id,user_first_name,user_last_name,role_type,user_status,created_at_utc,activated_at_utc,deactivated_at_utc
usr_00001,acc_0001,Natalie,Hamilton,manager,active,2026-01-12 00:00:00+00:00,2026-01-12 00:00:00+00:00,
usr_00002,acc_0001,Susan,Lynn,manager,active,2025-11-16 00:00:00+00:00,2025-11-16 00:00:00+00:00,
usr_00003,acc_0001,Nicholas,Clark,member,active,2026-01-29 00:00:00+00:00,2026-01-30 00:00:00+00:00,
usr_00004,acc_0001,Billy,Velasquez,member,active,2025-12-31 00:00:00+00:00,2026-01-03 00:00:00+00:00,
usr_00005,acc_0001,Stephanie,Dunn,member,active,2025-11-08 00:00:00+00:00,2025-11-09 00:00:00+00:00,
usr_00006,acc_0001,Willie,Adams,member,active,2026-01-31 00:00:00+00:00,2026-01-31 00:00:00+00:00,
usr_00007,acc_0001,Jeff,Chavez,manager,active,2026-01-17 00:00:00+00:00,2026-01-17 00:00:00+00:00,
usr_00008,acc_0001,David,Brown,member,active,2025-11-29 00:00:00+00:00,2025-11-29 00:00:00+00:00,
usr_00009,acc_0001,John,Walters,member,active,2025-11-13 00:00:00+00:00,2025-11-14 00:00:00+00:00,
usr_00010,acc_0001,Lance,Strong,manager,active,2025-11-21 00:00:00+00:00,2025-11-21 00:00:00+00:00,
usr_00011,acc_0001,Dominic,Nguyen,admin,active,2026-01-27 00:00:00+00:00,2026-01-27 00:00:00+00:00,
usr_00012,acc_0001,Brandon,Montes,member,active,2025-12-07 00:00:00+00:00,2025-12-09 00:00:00+00:00,
usr_00013,acc_0001,Virginia,Roberts,member,active,2025-11-13 00:00:00+00:00,2025-11-15 00:00:00+00:00,
usr_00014,acc_0001,Lori,Gomez,member,active,2026-01-16 00:00:00+00:00,2026-01-18 00:00:00+00:00,
usr_00015,acc_0002,Daniel,Neal,member,active,2025-09-09 00:00:00+00:00,2025-09-09 00:00:00+00:00,
usr_00016,acc_0002,Timothy,Lewis,member,active,2025-09-10 00:00:00+00:00,2025-09-12 00:00:00+00:00,
usr_00017,acc_0002,Laurie,Johnson,admin,active,2025-09-06 00:00:00+00:00,2025-09-08 00:00:00+00:00,
usr_00018,acc_0002,William,Porter,member,active,2025-12-13 00:00:00+00:00,2025-12-13 00:00:00+00:00,
usr_00019,acc_0002,Chad,Henry,member,active,2025-12-10 00:00:00+00:00,2025-12-10 00:00:00+00:00,
usr_00020,acc_0002,Matthew,Martin,member,active,2025-10-02 00:00:00+00:00,2025-10-05 00:00:00+00:00,
usr_00021,acc_0002,Oscar,Thompson,member,active,2025-09-06 00:00:00+00:00,2025-09-07 00:00:00+00:00,
usr_00022,acc_0002,Robin,Wilson,member,active,2025-12-08 00:00:00+00:00,2025-12-09 00:00:00+00:00,
usr_00023,acc_0002,Brandi,Lee,admin,active,2025-12-11 00:00:00+00:00,2025-12-12 00:00:00+00:00,
usr_00024,acc_0003,Stephen,Hernandez,member,active,2026-01-12 00:00:00+00:00,2026-01-15 00:00:00+00:00,
usr_00025,acc_0003,Crystal,Santos,member,active,2025-10-28 00:00:00+00:00,2025-10-29 00:00:00+00:00,
usr_00026,acc_0003,Brandon,Macdonald,member,active,2025-10-30 00:00:00+00:00,2025-10-31 00:00:00+00:00,
usr_00027,acc_0003,Gina,George,member,active,2025-10-12 00:00:00+00:00,2025-10-12 00:00:00+00:00,
